Crystal angle	Rate at 30kV
theta/°	R(30kV)/Imp/s

3,0	403,0
3,1	386,0
3,2	272,0
3,3	196,0
3,4	144,0
3,5	103,0
3,6	69,0
3,7	55,0
3,8	40,0
3,9	39,0
4,0	37,0
4,1	33,0
4,2	29,0
4,3	29,0
4,4	29,0
4,5	34,0
4,6	31,0
4,7	35,0
4,8	34,0
4,9	44,0
5,0	48,0
5,1	0,0
5,2	61,0
5,3	70,0
5,4	75,0
5,5	74,0
5,6	88,0
5,7	83,0
5,8	77,0
5,9	85,0
6,0	88,0
6,1	86,0
6,2	89,0
6,3	111,0
6,4	117,0
6,5	129,0
6,6	125,0
6,7	130,0
6,8	144,0
6,9	166,0
7,0	163,0
7,1	218,0
7,2	274,0
7,3	297,0
7,4	339,0
7,5	311,0
7,6	375,0
7,7	499,0
7,8	316,0
7,9	147,0
8,0	130,0
8,1	141,0
8,2	142,0
8,3	146,0
8,4	148,0
8,5	152,0
8,6	169,0
8,7	151,0
8,8	151,0
8,9	152,0
9,0	148,0
9,1	169,0
9,2	159,0
9,3	161,0
9,4	164,0
9,5	161,0
9,6	157,0
9,7	168,0
9,8	164,0
9,9	152,0
10,0	165,0
10,1	152,0
10,2	151,0
10,3	145,0
10,4	141,0
10,5	153,0
10,6	140,0
10,7	146,0
10,8	144,0
10,9	144,0
11,0	144,0
11,1	150,0
11,2	138,0
11,3	137,0
11,4	142,0
11,5	135,0
11,6	125,0
11,7	133,0
11,8	130,0
11,9	133,0
12,0	126,0
12,1	122,0
12,2	128,0
12,3	113,0
12,4	126,0
12,5	123,0
12,6	121,0
12,7	123,0
12,8	121,0
12,9	121,0
13,0	122,0
13,1	133,0
13,2	138,0
13,3	178,0
13,4	199,0
13,5	171,0
13,6	122,0
13,7	116,0
13,8	130,0
13,9	104,0
14,0	120,0
14,1	114,0
14,2	119,0
14,3	121,0
14,4	120,0
14,5	121,0
14,6	106,0
14,7	127,0
14,8	143,0
14,9	277,0
15,0	480,0
