Crystal angle	Rate at 24kV
theta/°	R(24kV)/Imp/s

3,0	188,0
3,1	179,0
3,2	121,0
3,3	114,0
3,4	70,0
3,5	44,0
3,6	25,0
3,7	15,0
3,8	12,0
3,9	12,0
4,0	0,0
4,1	10,0
4,2	9,0
4,3	8,0
4,4	8,0
4,5	8,0
4,6	8,0
4,7	8,0
4,8	7,0
4,9	5,0
5,0	6,0
5,1	7,0
5,2	5,0
5,3	10,0
5,4	8,0
5,5	9,0
5,6	9,0
5,7	11,0
5,8	17,0
5,9	22,0
6,0	22,0
6,1	29,0
6,2	27,0
6,3	39,0
6,4	47,0
6,5	49,0
6,6	42,0
6,7	50,0
6,8	60,0
6,9	62,0
7,0	62,0
7,1	80,0
7,2	95,0
7,3	109,0
7,4	114,0
7,5	110,0
7,6	115,0
7,7	158,0
7,8	109,0
7,9	86,0
8,0	87,0
8,1	92,0
8,2	92,0
8,3	89,0
8,4	94,0
8,5	91,0
8,6	102,0
8,7	92,0
8,8	96,0
8,9	99,0
9,0	98,0
9,1	94,0
9,2	99,0
9,3	105,0
9,4	107,0
9,5	102,0
9,6	99,0
9,7	98,0
9,8	99,0
9,9	91,0
10,0	94,0
10,1	86,0
10,2	85,0
10,3	85,0
10,4	77,0
10,5	85,0
10,6	79,0
10,7	80,0
10,8	78,0
