Crystal angle	Rate at 18kV
theta/°	R(18kV)/Imp/s

3,0	57,0
3,1	59,0
3,2	42,0
3,3	26,0
3,4	21,0
3,5	16,0
3,6	8,0
3,7	4,0
3,8	3,0
3,9	2,0
4,0	3,0
4,1	2,0
4,2	3,0
4,3	3,0
4,4	2,0
4,5	2,0
4,6	2,0
4,7	2,0
4,8	2,0
4,9	2,0
5,0	1,0
5,1	2,0
5,2	2,0
5,3	2,0
5,4	3,0
5,5	2,0
5,6	1,0
5,7	2,0
5,8	2,0
5,9	1,0
6,0	1,0
6,1	2,0
6,2	0,0
6,3	1,0
6,4	1,0
6,5	2,0
6,6	2,0
6,7	1,0
6,8	0,0
6,9	3,0
7,0	2,0
7,1	4,0
7,2	4,0
7,3	5,0
7,4	6,0
7,5	10,0
7,6	15,0
7,7	15,0
7,8	20,0
7,9	29,0
8,0	27,0
8,1	26,0
8,2	32,0
8,3	32,0
8,4	40,0
8,5	41,0
8,6	45,0
8,7	44,0
8,8	46,0
8,9	50,0
9,0	48,0
9,1	57,0
9,2	56,0
9,3	54,0
9,4	54,0
9,5	57,0
9,6	56,0
9,7	60,0
9,8	54,0
9,9	50,0
10,0	44,0
10,1	57,0
10,2	48,0
10,3	48,0
10,4	48,0
10,5	52,0
10,6	44,0
10,7	50,0
10,8	54,0
10,9	50,0
11,0	41,0
11,1	48,0
11,2	51,0
11,3	43,0
11,4	50,0
